2013-07-05 00:00:00	2013-07-05 23:59:00	一般ごみ
2013-07-09 00:00:00	2013-07-09 23:59:00	一般ごみ
2013-07-11 00:00:00	2013-07-11 23:59:00	リサイクルごみ
2013-07-12 00:00:00	2013-07-12 23:59:00	一般ごみ
2013-07-15 00:00:00	2013-07-15 23:59:00	子供会廃品回収
2013-07-16 00:00:00	2013-07-16 23:59:00	一般ごみ
2013-07-18 00:00:00	2013-07-18 23:59:00	不燃ごみ
2013-07-19 00:00:00	2013-07-19 23:59:00	一般ごみ
2013-07-23 00:00:00	2013-07-23 23:59:00	一般ごみ
2013-07-25 00:00:00	2013-07-25 23:59:00	リサイクルごみ
2013-07-26 00:00:00	2013-07-26 23:59:00	一般ごみ
2013-07-29 00:00:00	2013-07-29 23:59:00	大型可燃ごみ
2013-07-30 00:00:00	2013-07-30 23:59:00	一般ごみ
2013-08-02 00:00:00	2013-08-02 23:59:00	一般ごみ
2013-08-06 00:00:00	2013-08-06 23:59:00	一般ごみ
2013-08-08 00:00:00	2013-08-08 23:59:00	リサイクルごみ
2013-08-09 00:00:00	2013-08-09 23:59:00	一般ごみ
2013-08-12 00:00:00	2013-08-12 23:59:00	子供会廃品回収
2013-08-13 00:00:00	2013-08-13 23:59:00	一般ごみ
2013-08-15 00:00:00	2013-08-15 23:59:00	不燃ごみ
2013-08-16 00:00:00	2013-08-16 23:59:00	一般ごみ
2013-08-20 00:00:00	2013-08-20 23:59:00	一般ごみ
2013-08-22 00:00:00	2013-08-22 23:59:00	リサイクルごみ
2013-08-23 00:00:00	2013-08-23 23:59:00	一般ごみ
2013-08-26 00:00:00	2013-08-26 23:59:00	大型可燃ごみ
2013-08-27 00:00:00	2013-08-27 23:59:00	一般ごみ
2013-08-30 00:00:00	2013-08-30 23:59:00	一般ごみ
2013-09-03 00:00:00	2013-09-03 23:59:00	一般ごみ
2013-09-05 00:00:00	2013-09-05 23:59:00	リサイクルごみ
2013-09-06 00:00:00	2013-09-06 23:59:00	一般ごみ
2013-09-09 00:00:00	2013-09-09 23:59:00	子供会廃品回収
2013-09-10 00:00:00	2013-09-10 23:59:00	一般ごみ
2013-09-12 00:00:00	2013-09-12 23:59:00	不燃ごみ
2013-09-13 00:00:00	2013-09-13 23:59:00	一般ごみ
2013-09-17 00:00:00	2013-09-17 23:59:00	一般ごみ
2013-09-19 00:00:00	2013-09-19 23:59:00	リサイクルごみ
2013-09-20 00:00:00	2013-09-20 23:59:00	一般ごみ
2013-09-23 00:00:00	2013-09-23 23:59:00	大型可燃ごみ
2013-09-24 00:00:00	2013-09-24 23:59:00	一般ごみ
2013-09-27 00:00:00	2013-09-27 23:59:00	一般ごみ
2013-10-01 00:00:00	2013-10-01 23:59:00	一般ごみ
2013-10-04 00:00:00	2013-10-04 23:59:00	一般ごみ
2013-10-08 00:00:00	2013-10-08 23:59:00	一般ごみ
2013-10-10 00:00:00	2013-10-10 23:59:00	リサイクルごみ
2013-10-11 00:00:00	2013-10-11 23:59:00	一般ごみ
2013-10-14 00:00:00	2013-10-14 23:59:00	子供会廃品回収
2013-10-15 00:00:00	2013-10-15 23:59:00	一般ごみ
2013-10-17 00:00:00	2013-10-17 23:59:00	不燃ごみ
2013-10-18 00:00:00	2013-10-18 23:59:00	一般ごみ
2013-10-22 00:00:00	2013-10-22 23:59:00	一般ごみ
2013-10-24 00:00:00	2013-10-24 23:59:00	リサイクルごみ
2013-10-25 00:00:00	2013-10-25 23:59:00	一般ごみ
2013-10-28 00:00:00	2013-10-28 23:59:00	大型可燃ごみ
2013-10-29 00:00:00	2013-10-29 23:59:00	一般ごみ
2013-11-01 00:00:00	2013-11-01 23:59:00	一般ごみ
2013-11-05 00:00:00	2013-11-05 23:59:00	一般ごみ
2013-11-07 00:00:00	2013-11-07 23:59:00	リサイクルごみ
2013-11-08 00:00:00	2013-11-08 23:59:00	一般ごみ
2013-11-11 00:00:00	2013-11-11 23:59:00	子供会廃品回収
2013-11-12 00:00:00	2013-11-12 23:59:00	一般ごみ
2013-11-14 00:00:00	2013-11-14 23:59:00	不燃ごみ
2013-11-15 00:00:00	2013-11-15 23:59:00	一般ごみ
2013-11-19 00:00:00	2013-11-19 23:59:00	一般ごみ
2013-11-21 00:00:00	2013-11-21 23:59:00	リサイクルごみ
2013-11-22 00:00:00	2013-11-22 23:59:00	一般ごみ
2013-11-25 00:00:00	2013-11-25 23:59:00	大型可燃ごみ
2013-11-26 00:00:00	2013-11-26 23:59:00	一般ごみ
2013-11-29 00:00:00	2013-11-29 23:59:00	一般ごみ
2013-12-03 00:00:00	2013-12-03 23:59:00	一般ごみ
2013-12-05 00:00:00	2013-12-05 23:59:00	リサイクルごみ
2013-12-06 00:00:00	2013-12-06 23:59:00	一般ごみ
2013-12-09 00:00:00	2013-12-09 23:59:00	子供会廃品回収
2013-12-10 00:00:00	2013-12-10 23:59:00	一般ごみ
2013-12-12 00:00:00	2013-12-12 23:59:00	不燃ごみ
2013-12-13 00:00:00	2013-12-13 23:59:00	一般ごみ
2013-12-17 00:00:00	2013-12-17 23:59:00	一般ごみ
2013-12-19 00:00:00	2013-12-19 23:59:00	リサイクルごみ
2013-12-20 00:00:00	2013-12-20 23:59:00	一般ごみ
2013-12-23 00:00:00	2013-12-23 23:59:00	大型可燃ごみ
2013-12-24 00:00:00	2013-12-24 23:59:00	一般ごみ
2013-12-27 00:00:00	2013-12-27 23:59:00	一般ごみ
2013-12-31 00:00:00	2013-12-31 23:59:00	一般ごみ
